id,name,address,postal,lat,lng,phone,email,hours,url,n_catchment_postcodes
0ADC241FD9EC43449EC2752B46293D4C,4S Active Ageing Centre @ Eunos Crescent,"3 Eunos Crescent, #01-2585, Singapore 400003",400003,1.320662,103.903156,67421321,4saac_eunos@4s.org.sg,Mon - Fri: 8.00am - 6.00pm; Sat: 9.00am - 1.00pm,https://www.4s.org.sg,121
0068A4EF7CF04291B019E02529832095,AWWA Active Ageing Centre,"123 Ang Mo Kio Avenue 6, #01-4011, Singapore 560123",560123,1.370456,103.8446723,65116690,contactus@awwa.org.sg,Mon - Fri: 8.30am - 5.30pm; Weekends &amp; public holidays: closed,https://www.awwa.org.sg/our-services/seniors/active-ageing-centre/,298
1F4E4882FAA0434DB01F70B078EF6704,Active Ageing Centre (Care) @ Teck Whye Vista,"153 Jalan Teck Whye, 03-151, Singapore 680153",680153,1.3790081,103.7587256,90936887,senior@reach.org.sg,Mon - Wed &amp; Fri: 9.00am - 5.30pm; Thu: 1.30pm - 5.30pm; Weekends &amp; public holidays: closed,https://reach.org.sg/,40
0568CFC1799743FD993B0742394BFD0F,Active Ageing Centre @ Bukit Batok East,"288D Bukit Batok Street 25, Nature View, 01-40, Singapore 653288",653288,1.345891,103.759097,,fy-beaac@fycs.org,"Mon - Fri: 9.30am - 12.30pm, 2.00pm - 5.30pm; Weekends &amp; public holidays: closed",https://fycs.org/active-ageing-centres/,297
7525FB25161E4F34B9CABC2CC1D27550,Active Global @ Fernvale Glades,"461C Sengkang West Way, 01-143, Singapore 793461",793461,1.3941437,103.8709605,65360086,singapore@activeglobalcaregiver.com,Mon - Fri: 7.00am - 8.00pm; Weekends &amp; public holidays: 9.00am - 5.00pm,https://www.activeglobalcaregiver.sg/,657
D08704266E864785A1456978255835F2,Active Global Ghim Moh Active Ageing Centre (Care),"31A Ghim Moh Link, #01-11, Singapore 272031",272031,1.3093063,103.7842884,65360086,singapore@activeglobalcaregiver.com,Mon - Fri: 7.00am - 8.00pm; Weekends &amp; public holidays: 9.00am - 5.00pm,https://www.activeglobalcaregiver.sg/,936
5657352C32564794A5FAB670695BE50B,Active Global Telok Blangah Active Ageing Centre (Care),"92 Telok Blangah Street 31, 01-255, Singapore 100092",100092,1.2760612,103.8075363,65360086,singapore@activeglobalcaregiver.com,Mon - Fri: 7.00am - 8.00pm; Weekends &amp; public holidays: 9.00am - 5.00pm,https://www.activeglobalcaregiver.sg/,58
26EAA79EB2C648E9BE0B9AD56F07E6B0,Adventist Active Centre @ Golden Clover,"196 Kim Keat Avenue, #01-506, Singapore 310196",310196,1.3313074,103.8590851,92959518,gchong@adventistactive.sg,Mon - Fri: 8.30am - 6.00pm; Weekends &amp; public holidays: closed,https://www.adventisthome.org.sg,46
1A4A0CF3241A4C9D8239902FC9105673,Adventist Active Centre @ Golden Peony,"530A Jurong West Avenue 1, 01-907, Singapore 641530",641530,1.3480713,103.7154896,63345322,pzlin@adventistactive.sg,Mon - Fri: 8.30am - 6.00pm; Weekends &amp; public holidays: closed,https://www.adventisthome.org.sg,61
0D76FC92B4EB4B2BA52FC460890B21C3,Adventist Active Centre @ Kallang Trivista,"8 Upper Boon Keng Road, #01-02, Singapore 380008",380008,1.3130561,103.8703917,69044688,ctan@adventistactive.sg,Mon - Fri: 8.30am - 6.00pm; Weekends &amp; public holidays: closed,https://www.adventisthome.org.sg,258
C198D4A71B5548F8880F1A4818D766F0,Adventist Nursing and Rehabilitation Centre,"128 Pending Road, 01-328, Singapore 670128",670128,1.3760768,103.7696901,67600266,administrator@anrc.org.sg,Mon - Fri: 9.00am - 5.30pm; Weekends &amp; public holidays: closed,https://www.anrc.org.sg,50
2539276F12BD45DF83640CE6B67353A7,All Saints Silver Lifestyle Club @ Yishun Central,"2 Yishun Avenue 9, Yishun Polyclinic, #01-02, Singapore 768898",768898,1.4303842,103.8390594,80573022,enquiry@allsaintshome.org.sg,Mon - Fri: 9.00am - 6.00pm; Weekends &amp; public holidays: closed (See notes),http://allsaintshome.org.sg/,23
67F182CF89104F7F937BAB327AE86046,All Saints Silver Lifestyle Club @ Yishun Fern Grove,"674 Yishun Avenue 4, #01-11, Singapore 760674",760674,1.4201678,103.843148,80694699,enquiry@allsaintshome.org.sg,Mon - Fri: 9.00am - 6.00pm; Weekends &amp; public holidays: closed (See notes),http://allsaintshome.org.sg/,93
7DF105AA302A4064B336BC6ED5C48C06,Allkin Active Ageing Centre @ Ang Mo Kio 420,"420 Ang Mo Kio Ave 10, #01-1143, Singapore 560420",560420,1.364968,103.8530119,60384300,seniorservice@allkin.org.sg,Mon - Fri: 9.00am - 6.00pm; Weekends and public holidays: closed,https://www.allkin.org.sg/services/active-ageing-centres,87
A6340FB6F9C5449FB6897CD7F8D1549D,Allkin Active Ageing Centre @ Ang Mo Kio 420 - Branch,"469 Ang Mo Kio Ave 10, #01-940, Singapore 560469",560469,1.3645774,103.857088,60384310,seniorservice@allkin.org.sg,Mon - Fri: 9.00am - 6.00pm; Weekends and public holidays: closed,https://www.allkin.org.sg/services/active-ageing-centres,0
213F34415EEF4E2C94DCEFB49275B9CE,Allkin Active Ageing Centre @ Ang Mo Kio 510,"510 Ang Mo Kio Avenue 8, #01-2556, Singapore 560510",560510,1.3734149,103.8492068,60384380,seniorservice@allkin.org.sg,Mon - Fri: 9.00am - 6.00pm; Weekends &amp; public holidays: closed,https://www.allkin.org.sg/services/active-ageing-centres,885
C8FEEBCA0AFE491C8C22B7E9584CAE1B,Allkin Active Ageing Centre @ Pasir Ris 476A,"476A Pasir Ris Drive 6, #01-618, Singapore 511476",511476,1.3750869,103.9578205,60384360,seniorservice@allkin.org.sg,Mon - Fri: 9.00am - 6.00pm; Weekends &amp; public holidays: closed,https://www.allkin.org.sg/services/active-ageing-centres,273
2308101AB8D3423C8B669209DAC68526,Allkin Active Ageing Centre @ Punggol 206A,"206A Punggol Place, #01-2030, Singapore 821206",821206,1.3992117,103.9014471,60384350,seniorservice@allkin.org.sg,Mon - Fri: 9.00am - 6.00pm; Weekends &amp; public holidays: closed,https://www.allkin.org.sg/services/active-ageing-centres,109
BF11084A893B495F9F59453BBCDEB3DB,Allkin Active Ageing Centre @ Punggol 677B,"677B Punggol Drive, #01-774, Singapore 822677",822677,1.4053075,103.9095904,60384370,seniorservice@allkin.org.sg,Mon - Fri: 9.00am - 6.00pm; Weekends &amp; public holidays: closed,https://www.allkin.org.sg/services/active-ageing-centres,324
C4DA0C6046CE4F70A49A2A002979EF91,Allkin Active Ageing Centre @ Sengkang 139,"139 Rivervale Street, 01-764, Singapore 540139",540139,1.3888029,103.9045208,60384390,seniorservice@allkin.org.sg,Mon - Fri: 9.00am - 6.00pm; Weekends &amp; public holidays: closed,https://www.allkin.org.sg/services/active-ageing-centres,113
